REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060532,45.0,755.0,195.0,15.0,75.0,500.0,70.0,65.0,5.0,750.0,10.0,750.0
2021S051248060533,30.0,605.0,260.0,22.9,35.0,410.0,35.0,55.0,10.0,585.0,5.0,585.0
2021S051248060534,20.0,305.0,80.0,20.5,25.0,240.0,25.0,25.0,0.0,340.0,0.0,335.0
2021S051248060535,15.0,325.0,60.0,17.9,110.0,225.0,110.0,10.0,35.0,385.0,5.0,385.0
2021S051248060539,50.0,610.0,90.0,13.0,115.0,395.0,115.0,10.0,10.0,630.0,0.0,630.0
2021S051248060540,25.0,380.0,45.0,15.2,60.0,230.0,60.0,10.0,10.0,360.0,5.0,365.0
2021S051248060541,15.0,330.0,40.0,13.2,65.0,255.0,65.0,5.0,5.0,380.0,0.0,380.0
2021S051248060542,25.0,495.0,70.0,3.2,75.0,325.0,80.0,25.0,5.0,490.0,0.0,495.0
2021S051248060543,35.0,775.0,145.0,11.4,130.0,420.0,130.0,20.0,10.0,680.0,5.0,680.0
2021S051248060544,15.0,325.0,0.0,6.3,155.0,165.0,75.0,5.0,0.0,320.0,0.0,400.0
2021S051248060545,15.0,395.0,45.0,0.0,140.0,225.0,120.0,10.0,10.0,415.0,0.0,440.0
2021S051248060546,20.0,335.0,135.0,8.8,70.0,230.0,70.0,20.0,5.0,385.0,5.0,385.0
2021S051248060547,15.0,395.0,55.0,0.0,65.0,225.0,65.0,10.0,0.0,370.0,0.0,375.0
2021S051248060548,25.0,385.0,45.0,18.9,55.0,220.0,60.0,15.0,5.0,390.0,0.0,385.0
2021S051248060549,20.0,625.0,105.0,13.7,495.0,345.0,170.0,35.0,45.0,755.0,10.0,935.0
2021S051248060550,10.0,420.0,130.0,13.2,50.0,330.0,50.0,65.0,10.0,435.0,5.0,435.0
2021S051248060551,15.0,465.0,95.0,8.5,120.0,295.0,120.0,20.0,5.0,515.0,0.0,515.0
2021S051248060552,15.0,450.0,65.0,11.8,120.0,240.0,120.0,15.0,5.0,445.0,0.0,450.0
2021S051248060553,15.0,500.0,130.0,20.3,110.0,330.0,110.0,20.0,10.0,545.0,5.0,545.0
2021S051248060554,15.0,540.0,255.0,16.0,95.0,405.0,95.0,80.0,20.0,530.0,15.0,540.0
2021S051248060555,35.0,630.0,320.0,12.2,115.0,440.0,115.0,70.0,25.0,625.0,20.0,620.0
2021S051248060556,15.0,575.0,140.0,8.3,100.0,450.0,100.0,55.0,55.0,585.0,20.0,585.0
2021S051248060557,50.0,715.0,145.0,10.4,60.0,555.0,55.0,35.0,15.0,760.0,10.0,760.0
2021S051248060558,25.0,645.0,235.0,11.5,65.0,455.0,65.0,45.0,15.0,600.0,15.0,600.0
2021S051248060559,30.0,655.0,275.0,9.8,130.0,400.0,120.0,30.0,45.0,655.0,5.0,670.0
2021S051248060560,30.0,590.0,95.0,11.6,70.0,395.0,70.0,35.0,5.0,635.0,0.0,640.0
2021S051248060561,35.0,745.0,275.0,14.6,65.0,520.0,65.0,75.0,10.0,680.0,10.0,680.0
2021S051248060562,80.0,1165.0,620.0,16.2,115.0,960.0,65.0,220.0,20.0,1255.0,25.0,1385.0
2021S051248060563,15.0,570.0,115.0,10.0,105.0,290.0,105.0,20.0,10.0,515.0,5.0,515.0
2021S051248060564,35.0,650.0,160.0,7.2,155.0,475.0,95.0,45.0,10.0,685.0,10.0,745.0
2021S051248060565,15.0,435.0,65.0,8.7,110.0,250.0,105.0,10.0,5.0,430.0,5.0,425.0
2021S051248060566,15.0,545.0,45.0,9.3,110.0,300.0,105.0,15.0,0.0,510.0,0.0,515.0
